set_names,n_sets,size,elements
A & B & C & D & E & F & G,7,1,['element_079']
A & B & C & D & E & G,6,2,"['element_031', 'element_066']"
A & B & C & E & F & G,6,2,"['element_077', 'element_091']"
B & C & D & E & F & G,6,2,"['element_050', 'element_071']"
A & B & C & D & E & F,6,1,['element_057']
A & B & D & E & F & G,6,1,['element_138']
A & C & D & E & F & G,6,1,['element_116']
A & B & C & D & F & G,6,0,[]
A & B & C & E & G,5,5,"['element_027', 'element_136', 'element_141', 'element_153', 'element_166']"
A & B & D & E & G,5,3,"['element_023', 'element_043', 'element_062']"
A & B & E & F & G,5,3,"['element_016', 'element_019', 'element_191']"
A & B & C & D & E,5,2,"['element_032', 'element_125']"
A & B & C & F & G,5,3,"['element_028', 'element_056', 'element_105']"
A & B & D & E & F,5,3,"['element_087', 'element_137', 'element_162']"
A & C & E & F & G,5,2,"['element_030', 'element_159']"
A & D & E & F & G,5,3,"['element_175', 'element_183', 'element_190']"
B & C & D & E & F,5,2,"['element_088', 'element_103']"
B & C & D & E & G,5,1,['element_194']
B & C & D & F & G,5,3,"['element_045', 'element_064', 'element_169']"
B & C & E & F & G,5,1,['element_049']
C & D & E & F & G,5,2,"['element_139', 'element_150']"
A & B & C & D & G,5,2,"['element_006', 'element_083']"
B & D & E & F & G,5,1,['element_106']
A & B & C & D & F,5,2,"['element_025', 'element_133']"
A & B & C & E & F,5,0,[]
A & C & D & E & F,5,1,['element_112']
A & C & D & E & G,5,0,[]
A & B & D & F & G,5,1,['element_094']
A & C & D & F & G,5,0,[]
A & B & E & G,4,0,[]
A & B & C & G,4,0,[]
A & E & F & G,4,2,"['element_080', 'element_195']"
B & C & E & G,4,1,['element_134']
A & B & C & E,4,1,['element_192']
A & B & D & E,4,1,['element_196']
A & B & F & G,4,3,"['element_101', 'element_127', 'element_170']"
A & C & E & G,4,1,['element_188']
B & D & E & F,4,3,"['element_004', 'element_029', 'element_055']"
B & D & E & G,4,3,"['element_095', 'element_179', 'element_181']"
C & D & E & F,4,4,"['element_009', 'element_075', 'element_110', 'element_200']"
D & E & F & G,4,3,"['element_084', 'element_158', 'element_184']"
A & B & C & D,4,3,"['element_036', 'element_078', 'element_187']"
A & B & E & F,4,2,"['element_085', 'element_114']"
B & C & D & G,4,2,"['element_015', 'element_199']"
B & C & F & G,4,1,['element_186']
A & D & E & F,4,1,['element_128']
A & D & E & G,4,1,['element_069']
B & C & D & E,4,1,['element_072']
B & C & D & F,4,1,['element_073']
C & D & F & G,4,3,"['element_021', 'element_176', 'element_185']"
A & B & C & F,4,2,"['element_119', 'element_198']"
A & B & D & G,4,1,['element_013']
A & C & D & E,4,3,"['element_037', 'element_097', 'element_142']"
